제목,발행년도,작가,출판사,별점
The Illusion (TCG Translations Book 6),1994,Tony Kushner,"Theatre Communications Group; 1st edition (October 1, 1994)",4.0
As I Walk Through My Mind,2023,Ya Joseph,"Newman Springs Publishing, Inc. (January 18, 2023)",5.0
Oliver's Antiques: Witch's Folly Book 1,2021,Vincenza Di Martino,"RhetAskew Publishing (August 19, 2021)",4.9
His Final Girl (B Mine Book 1),2019,Brooklyn Ann,"Boroughs Publishing Group (April 25, 2019)",4.3
Empath Reborn (Hollows Ground Book 3),2019,J.A. Culican,"Dragon Realm Press (February 12, 2019)",4.4
"Amorphous Angelic, Selected Poems",2011,Jacqueline Howett,"Elivlio Publishing/Jacqueline Howett; eBook edition (January 5, 2011)",3.6
Bolt Action: Campaign: The Western Desert,2018,Warlord Games,"Osprey Games; 1st edition (September 20, 2018)",4.9
Real World Adobe Illustrator CS4,2008,Mordy Golding,"Peachpit Press; 1st edition (December 19, 2008)",4.4
The Moores are Missing,2017,James Patterson,"Cornerstone Digital (July 25, 2017)",4.3
Long Way Home (DI Zigic & DS Ferreira Book 1),2014,Eva Dolan,"Vintage Digital (January 2, 2014)",3.9
Colorful Stash Busters: 10 New Projects From Mary's Cottage Quilts (Quiltmaker's Club),2011,Mary Cowan,"C&T Publishing (June 1, 2011)",4.6
The Sable Keep (Iridescent Realm Book 4),2022,Michelle Dare,"Daring Romance LLC (April 22, 2022)",4.3
Alamut (Scala Translation),2012,Vladimir Bartol,"North Atlantic Books (December 18, 2012)",4.6
"American Jezebel: The Uncommon Life of Anne Hutchinson, the Woman Who Defied the Puritans",2009,Eve LaPlante,"HarperOne; Reprint edition (April 25, 2009)",4.0
The Clock and the Camshaft: And Other Medieval Inventions We Still Can't Live Without,2020,John Farrell,"Prometheus; Illustrated edition (May 29, 2020)",4.2
In Need of a Good Wife,2012,Kelly O'Connor McNees,"Berkley; 1st edition (October 2, 2012)",4.0
RED MOON RISING: A brutal murder that might have never happened . . .,2017,J.T. Brannan,"Grey Arrow Publishing; 2nd edition (April 6, 2017)",4.1
The Pirate's Daughter (Master and Command Her Book 1),2017,Marie Hall,"Blushing Books Publications (November 5, 2017)",4.4
Honeysuckle Sippin' (The Journey Home Trilogy Book 1),2016,Wanda Baham Sturrock,"BookBaby; 2nd edition (May 12, 2016)",4.3
"Dire Harvest, Book 1, Zlo",2020,Robert Ferencz,"Chilled Bones; 1st edition (November 22, 2020)",4.3
File A Proper Claim,2014,M Garnet,"Self published (July 25, 2014)",2.5
"Analysis of Changes, NEC 2014",2013,International Association of Electrical Inspectors,"International Association of Electrical Inspectors (November 17, 2013)",4.5
Adventures of Huckleberry Finn : [Illustrated] [More Than 60 Pictures Included] [Free Audio Links],2014,Mark Twain,"Starbooks Classics Publishing (September 14, 2014)",4.5
Everywhere That Tommy Goes,2014,Howard K. Pollack,"Stonesong Digital (April 10, 2014)",4.5
The Judas Field: A Novel of the Civil War,2018,Howard Bahr,"Open Road Media; 1st edition (April 24, 2018)",4.4
A Broad Abroad in Thailand: An Expat's Misadventures in the Land of Smiles,2007,Dodie Cross,"FourWaysWest - CrossRoads Publishing; 1st edition (September 1, 2007)",3.7
At Van Eyckmann's Request (Hudson Horror Series),2013,Robert J. Stava,"Deathwatch Books; Second edition (December 16, 2013)",4.2
"Under Red Skies: Three Generations of Life, Loss, and Hope in China",2019,Karoline Kan,"Legacy Lit (March 12, 2019)",4.4
The Showing (Mister Jones Mysteries Book 1),2014,Will Macmillan Jones,"Red Kite Publishing; 2nd edition (July 17, 2014)",4.2
Sherlock Holmes and the Adventure of the Spanish Drums,2015,Martin Daley,"Lume Books (February 17, 2015)",4.1
Shhh...Two Twisted Thrillers that will Make You Scream (2 Book Bundle),2014,Mike Wells,"For Readers of Stephen King, Thomas Harris, Dean Koontz, James Patterson, John Saul and Jack Ketchu (October 2, 2014)",4.0
Delphi Collected Works of Basho and the Haikuists (Illustrated),2022,Shiki Masaoka,"Delphi Classics; 1st edition (January 27, 2022)",3.9
A Spectrum of Heroes: A Superhero Novel,2021,Annie Percik,"Markosia Enterprises Ltd (September 6, 2021)",4.2
Devil's Guard Blood and Iron,2011,Eric Meyer,"Swordworks (June 6, 2011)",4.2
Haunting in Old Tailem: A Supernatural Suspense Horror (Haunting Clarisse Book 3),2020,Janice Tremayne,"Millport Press (November 29, 2020)",4.5
Then We'll Sing a New Song: African Influences on America's Religious Landscape,2012,Mary Ann Clark,"Rowman & Littlefield Publishers; 1st edition (May 10, 2012)",5.0
Darwin's Children: A Novel (Darwin's Radio Book 2),2003,Greg Bear,"Del Rey (March 4, 2003)",4.3
Heavy Weather: Tempestuous Tales of Stranger Climes,2021,Kevan Manwaring,"British Library Publishing (February 18, 2021)",4.1
What the Psychic Told the Pilgrim: A Midlife Misadventure on Spain's Camino de Santiago,2009,Jane Christmas,"Greystone Books (July 1, 2009)",4.1
Vita quotidiana dei Bastardi di Pizzofalcone (Italian Edition),2017,Maurizio De Giovanni,"EINAUDI (February 28, 2017)",3.1
Smells: A Cultural History of Odours in Early Modern Times,2020,Robert Muchembled,"Polity; 1st edition (May 7, 2020)",4.3
The Lion of Cairo,2010,Scott Oden,"Thomas Dunne Books (December 7, 2010)",4.0
Blindsided: A Supernatural Dark Fantasy Novella in the Saga of the Dead Men Walking (Standing Alone Book 1),2014,Joshua E. B. Smith,"Joshua E. B. Smith; 1st edition (December 21, 2014)",5.0
"Bug Be Gone: 20 Non-Toxic & Natural Homemade Mosquito, Ant & Tick Repellents",2016,Jennifer Tynan,"Speckled Egg Publishing (May 28, 2016)",3.1
Overcomers: A Children's Christian Suspense Story,2021,Joy Ohagwu,"Divine Breakthrough Infinity (December 31, 2021)",4.0
"Behind the Scenes: or, Thirty Years a Slave, and Four Years in the White House (Penguin Classics)",2005,Elizabeth Keckley,"Penguin Classics (July 26, 2005)",4.1
Helen Keller in Love,2012,Rosie Sultan,"Firebird (April 26, 2012)",4.1
The Inspector and Mrs Jeffries (Mrs.Jeffries Mysteries Book 1),2013,Emily Brightwell,"Constable (November 7, 2013)",4.2
The Cherokee Kid: The Treasure Of Dead Man's Pass,2019,Cabot Barden,"Bestseller Publishers (February 8, 2019)",4.5
My Psychic Life,2008,Sally Morgan,"Penguin (September 25, 2008)",4.4
The Last Bloody Straw: A Scottish Detective Mystery (DCI Logan Crime Thrillers Book 5),2020,JD Kirk,"Zertex Crime (April 27, 2020)",4.6
Return to Umbria (Rick Montoya Italian Mysteries Book 4),2016,David P Wagner,"Poisoned Pen Press (November 1, 2016)",4.3
The Under Dog and Other Stories: A Hercule Poirot Collection (Hercule Poirot series),2012,Agatha Christie,"William Morrow Paperbacks; Reprint edition (August 7, 2012)",4.4
MURDER IN THE FARMHOUSE an addictive crime mystery full of twists (Arnold Landon Detective Mystery and Suspense Book 3),2021,Roy Lewis,"Joffe Books crime thriller and suspense mystery (May 23, 2021)",4.3
The Two Mrs. Abbotts (Miss Buncle Book 3),2014,D. E. Stevenson,"Sourcebooks Landmark; Reprint edition (January 7, 2014)",4.3
Valkyrie: Omega Days VII,2022,John L. Campbell,"Wild Highlander Press (July 9, 2022)",4.8
Max & Molly Learn Their Manners (Inspirational Nursery Rhymes Book 5),2017,Todd J. Courtney,"Clovercroft Publishing (January 30, 2017)",3.8
"The Kept Woman: The Will Trent Series, Book 8",2016,Karin Slaughter,"Cornerstone Digital; 1st edition (July 14, 2016)",4.3
Perspectives (Mind's Eye Series Book 1),2014,Maria Savva,"Quiet Fury Books (April 13, 2014)",5.0
"The Witch's Spellbook for Beginners: Enchantments, Incantations, and Rituals from Around the World (New Shoe Press)",2022,Sarah Bartlett,"New Shoe Press (September 13, 2022)",4.7
the mystery of coopersville,2013,Douglas E. Foster,"Douglas E. Foster (October 21, 2013)",2.9
Trial by Fire: A Novel of Suspense (Ali Reynolds Book 5),2009,J. A. Jance,"Gallery Books (November 25, 2009)",4.5
A Century of Great Suspense Stories,2002,Jeffery Deaver,"Berkley (November 5, 2002)",3.8
Mortality Bridge,2014,Steven R. Boyett,"Open Road Media Sci-Fi & Fantasy (April 1, 2014)",4.0
Hell! said the Duchess,2013,Michael Arlen,"Valancourt Books (July 6, 2013)",3.9
1911 The First 100 Years,2010,Patrick Sweeney,"Gun Digest Books; 1st edition (August 27, 2010)",4.5
A Random Buzzard In Kathmandu,2016,Suzanne Link,"Suzanne Link; 1st edition (August 3, 2016)",5.0
Shadow Hill (Geneva Chase Crime Reporter Mysteries Book 4),2021,Thomas Kies,"Poisoned Pen Press (August 10, 2021)",4.7
"Race Rebels: Culture, Politics, And The Black Working Class",1996,Robin D. G. Kelley,"Free Press (June 1, 1996)",4.5
The House With No Address,2022,Curtis Maynard,"Curtis Maynard; 1st edition (August 19, 2022)",4.3
Surviving The Game: How To Succeed In The Music Business,2012,Sahpreem A. King,"Wealth Of Thought Digital Press; 1st Edition (May 6, 2012)",4.3
The Lawman's Baby: A Clean Romance (Home to Eagle's Rest Book 3),2019,Patricia Johns,"Harlequin Heartwarming; Large type / Large print edition (July 1, 2019)",4.4
The Fall of the House of Æthelfrith: Kings of Northumbria Book 5,2017,H A Culley,"Orchard House Publishing (July 29, 2017)",4.4
Talking to the Dead: A chilling British detective crime thriller (Fiona Griffiths 1),2012,Harry Bingham,"Orion (June 21, 2012)",4.2
CHASING THE MERRY-GO-ROUND: Holding on to Hope & Home When the World Moves Too Fast,2018,Kelly Bargabos,"Boulay Press (January 14, 2018)",4.7
Ivy (Auction Night Book 4),2020,Jet Masters,"JEM Publishing (April 8, 2020)",4.5
Deadly Delusions: A Medical Thriller (Dr. Annabel Tilson Novels Book 2),2016,Barbara Ebel,"Barbara Mary Ebel (December 6, 2016)",4.3
Killing Rose (A Cali May Mystery Book 2),2018,Wendy Wickham Fallon,"Short on Time Books (March 15, 2018)",4.4
ABSOLUTION an absolutely gripping Scottish crime thriller with a stunning climax (Detectives Anderson and Costello Mystery Book 1),2021,Caro Ramsay,"Joffe Books crime thriller, mystery and suspense (April 14, 2021)",4.1
Nick Newton: The Highest Bidder,2018,S.E.M. Ishida,"BJU Press/JourneyForth (November 5, 2018)",4.8
Mrs. Grant and Madame Jule,2015,Jennifer Chiaverini,"Dutton (March 3, 2015)",4.4
Death in Salem: A Mystery (Will Rees Mysteries Book 4),2015,Eleanor Kuhns,"Minotaur Books; First edition (June 16, 2015)",4.0
Run,2014,Michaelbrent Collings,"Written Insomnia Press; 2nd edition (January 15, 2014)",4.3
Race on the Move: Brazilian Migrants and the Global Reconstruction of Race (Stanford Studies in Comparative Race and Ethnicity),2015,Tiffany D. Joseph,"Stanford University Press; 1st edition (February 25, 2015)",4.2
"Shadow (The Romany Outcasts Series, Book 2)",2016,Christi J. Whitney,"HarperVoyager (June 2, 2016)",4.6
Secrets in the Shallows (Book 1: The Monastery Murders),2016,Kimberly Brouillette,"Mysterium Publishing; 6th edition (February 14, 2016)",3.8
Savage Realms Monthly: October 2021 (Savage Realms Monthly Dark Fantasy Sword and Sorcery Adventure Magazine Book 7),2021,Richard L. Rubin,"Literary Rebel, LLC; 1st edition (November 5, 2021)",4.4
For All My Walking: Free-Verse Haiku of Taneda Santoka (Modern Asian Literature Series),2003,Santōka Taneda,"Columbia University Press; 0 edition (November 12, 2003)",4.8
"Baby Boomer Comics: The Wild, Wacky, Wonderful Comic Books of the 1960s",2011,Craig Shutt,"Krause Publications (February 28, 2011)",4.4
The Miracles of Prato: A Novel,2009,Laurie Lico Albanese,"HarperCollins e-books (October 6, 2009)",4.2
Productize: The Ultimate Guide to Turning Professional Services into Scalable Products,2021,Eisha Armstrong,"Vecteris (May 2, 2021)",4.3
Walking Over Eggshells: Surviving Mental Abuse,2013,Lucinda E Clarke,"Umhlanga Press; 1st edition (July 29, 2013)",4.2
The Day Hal Quit,2015,Jim Christ,"Joseph and Associates (August 28, 2015)",4.8
Irreverent Natter- A collection of poems from my 30s,2011,Sohail Akhtar Aadil,"Native Tongue (November 3, 2011)",5.0
Salt Moon (Crab Orchard Series in Poetry),2015,Noel Crook,"Southern Illinois University Press; 1st edition (February 4, 2015)",4.0
The Pretender-Rebirth,2013,Craig W Van Sickle,"Telemachus Press, LLC (October 5, 2013)",4.4
Insomnia,1995,Stephen King,"Signet; 1st edition (September 1, 1995)",4.5
$20 Per Gallon: How the Inevitable Rise in the Price of Gasoline Will Change Our Lives for the Better,2009,Christopher Steiner,"Grand Central Publishing; 1st edition (June 23, 2009)",4.0
Phantom Of Manhattan,2010,Frederick Forsyth,"Transworld Digital; New Ed edition (September 30, 2010)",4.0
Truancy: A Novel,2008,Isamu Fukui,"Tor Teen; 1st edition (March 4, 2008)",4.5
Rental Style: The Ultimate Guide to Decorating Your Apartment or Small Home,2020,Chelsey Brown,"Skyhorse (May 19, 2020)",4.5
Did They Really Do It?: From Lizzie Borden to the 20th Hijacker,2015,FRED ROSEN,"Open Road Media (November 17, 2015)",3.5
The Four Forges (The Elven Ways Book 1),2008,Jenna Rhodes,"DAW (November 1, 2008)",4.3
"The Personal Organizing Workbook: Solutions for a Simpler, Easier Life",2012,Meryl Starr,"Chronicle Books LLC (June 15, 2012)",3.9
Mastering The Market Cycle: Getting the Odds on Your Side,2018,Howard Marks,"Mariner Books; Reprint edition (October 2, 2018)",4.3
Upon My Soul (Hitman with a Soul Trilogy Book 1),2014,Robert J. Randisi,"Down & Out Books (January 14, 2014)",4.2
Grave Witch: An Alex Craft Novel (Alex Craft Series Book 1),2010,Kalayna Price,"Ace (October 5, 2010)",4.4
El santuario (Crónicas Vampíricas 9): Crónicas Vampíricas IX (Spanish Edition),2014,Anne Rice,"B DE BOLSILLO (August 16, 2014)",4.5
Estranged: Leaving Family and Finding Home,2017,Jessica Berger Gross,"Scribner; Reprint edition (July 11, 2017)",4.0
Psychic Photographer,2011,Sandra Graves,"Rory Media (November 13, 2011)",3.3
The Trespass: A Novel,2014,Barbara Ewing,"St. Martin's Press (January 28, 2014)",4.7
DISASTER AT DUNGENESS,2013,Ronald Johnston,"THE EDGAR ALLAN PRESS (June 16, 2013)",4.7
River Town: Two Years on the Yangtze (P.S.),2010,Peter Hessler,"HarperCollins e-books (September 21, 2010)",4.6
Surfari,2011,Tim Baker,"Random House Australia (October 26, 2011)",4.2
Weihnachtsgeschichten (German Edition),2018,Katrina Kahler,"KC Global Enterprises Pty Ltd (December 5, 2018)",4.3
Fighting Foreign Armies (Struggle for Limhah Book 2),2021,Angelique Conger,"Southwest of Zion Publishing (April 20, 2021)",5.0
"The Twins of Darkwood: Tales of Darkwood, Book 2",2022,Stacey Upton Bracey,"EWP Publications; 1st edition (March 10, 2022)",4.3
RESTful Web Services Cookbook: Solutions for Improving Scalability and Simplicity,2010,Subbu Allamaraju,"Yahoo Press; 1st edition (February 22, 2010)",4.3
Season of the Swords (The Swords of Valor Book 1),2018,Domenic Melillo,"Phase Publishing; 1st edition (October 1, 2018)",4.6
Soul Solstice (The Atman Journeys),2018,H.L. Morley,"Heather Morley (December 18, 2018)",4.7
Keeping Score on Ballard Street: The Comic Art of Jerry Van Amerongen,2012,Jerry Van Amerongen,"Tasora Books (August 21, 2012)",4.4
"Inventions, Researches And Writings Of Nikola Tesla",2014,Nikola Tesla,"Start Classics (January 1, 2014)",4.7
A Taste of Deceit,2022,Valerie Keogh,"Bloodhound Books (February 28, 2022)",4.1
The Spirit and the Flesh,2017,Douglas Boyd,"Lume Books (June 8, 2017)",4.3
The Nuremberg Trials: The Nazis brought to justice,2015,Alexander Macdonald,"Arcturus (September 8, 2015)",4.1
Death of a Macho Man (Hamish Macbeth Book 12),2009,M. C. Beaton,"Constable (June 1, 2009)",4.5
Blood Trail (A Joe Pickett Novel Book 8),2008,C. J. Box,"G.P. Putnam's Sons (May 20, 2008)",4.6
3 Bowls: Vegetarian Recipes from an American Zen Buddhist Monastery,2000,Seppo Ed Farrey,"Harvest (May 16, 2000)",4.5
Shadow Prey (The Prey Series Book 2),1991,John Sandford,"G.P. Putnam's Sons (March 1, 1991)",4.3
Home Safety Basics (Women's Self Defense Book 1),2012,Eldra McCracken,"Noble Tree LLC (August 8, 2012)",2.0
Peste et Choléra - Prix Femina 2012 (Fiction & Cie) (French Edition),2012,Patrick Deville,"Le Seuil (August 23, 2012)",4.1
The World's Most Prestigious Prize: The Inside Story of the Nobel Peace Prize,2019,Geir Lundestad,"OUP Oxford (September 12, 2019)",3.7
"Blessed Unrest: How the Largest Social Movement in History Is Restoring Grace, Justice, and Beau ty to the World",2007,Paul Hawken,"Penguin Books (May 10, 2007)",4.4
Hush,2018,Jess Wygle,"BookRix (August 22, 2018)",5.0
Spell Jar Book for Beginners: 60 Enchanting Spells to Focus Your Power and Unleash the Magic,2022,Paige Vanderbeck,"Rockridge Press (June 14, 2022)",4.5
Darkness at Chancellorsville: A Novel of Stonewall Jackson's Triumph and Tragedy,2019,Ralph Peters,"Forge Books (May 21, 2019)",4.7
"Robbed of Sleep, Vol. 2: Stories to Stay Up For (The Robbed of Sleep Anthology)",2014,Troy Blackford,"Troy Blackford Publications; 1st edition (December 16, 2014)",4.4
The Scarlet Gospels,2015,Clive Barker,"Macmillan; Air Iri OME edition (June 1, 2015)",4.2
At the Edge of Honor (Honor Series Book 1),2012,Robert N. Macomber,"Pineapple Press (February 25, 2012)",4.3
The Ones That Got Away,2011,Stephen Graham Jones,"Prime Books (September 14, 2011)",4.2
Love Factually for Single Parents: [& Those Dating Them],2019,Duana Welch,"Love Science Media (January 7, 2019)",4.3
The Haunting of Willow Tree Court,2012,Jennifer Adele,"Synthesis 365 (December 5, 2012)",3.9
From Evil: Books 4-6 (Deliver Box Set Book 2),2020,Pam Godwin,"Heartbound Media, Inc. (December 29, 2020)",4.5
The Prism of Her Thoughts: An insight into Black womanhood and Black motherhood,2020,Vicky Nyanga,"Conscious Dreams Publishing (November 27, 2020)",5.0
Deadly Days of Christmas: A Winter Romantic Suspense,2021,Carla Cassidy,"Harlequin Intrigue; Original edition (October 26, 2021)",4.4
Wothwood: A Broken Cities Novella,2017,Natania Barron,"Falstaff Books (February 28, 2017)",4.3
Longshot (Francis Thriller),2012,Dick Francis,"Penguin (February 16, 2012)",4.6
Matt Helm - The Devastators,2014,Donald Hamilton,"Titan Books (April 8, 2014)",4.4
Sudden Prey (The Prey Series Book 8),1997,John Sandford,"G.P. Putnam's Sons (May 1, 1997)",4.6
Birds of Prophecy (The Dashkova Memoirs Book 3),2015,Thomas K Carpenter,"Black Moon Books (May 25, 2015)",4.4
Teaching With Purpose: Closing the Research - Practice Gap,2005,John E. Penick,"NSTA Press (January 1, 2005)",4.0
"YOUNG J. EDGAR: Hoover and the Red Scare, 1919-1920",2016,Kenneth D. Ackerman,"Viral History Press LLC (January 10, 2016)",4.4
The Chocolate Cobweb,2012,Charlotte Armstrong,"MysteriousPress.com/Open Road (February 21, 2012)",4.0
Goodnight Goes Riding: and other poems,2014,Rod Miller,"Pen-L Publishing (October 6, 2014)",4.3
The Trials (The Red Trilogy Book 2),2015,Linda Nagata,"Gallery / Saga Press (August 18, 2015)",4.3
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,2012,A. J. Jacobs,"Cornerstone Digital; New Ed edition (January 31, 2012)",4.2
The Bold Heart (Listen to Your Heart Book 3),2014,Margaret Lake,"Jobree Publishing (December 14, 2014)",4.7
"Prelude of Fire: The Gailean Quartet, Book I",2020,Christine E. Schulze,"Words Matter Publishing; 1st edition (January 15, 2020)",4.7
Picture Walking Poldark's Falmouth: 18th century highlights from Verity and Demelza's old town (Walk the Talk e-guides Book 6),2015,Vivien Uff,"The Uffs; 2nd edition (May 27, 2015)",2.8
Deviation (The Sean O'Reilly Deception Book 2),2020,MX Watson,"Insync Books; 1st edition (February 28, 2020)",4.2
Fearless Confessions: A Writer's Guide to Memoir,2010,Sue William Silverman,"University of Georgia Press (January 25, 2010)",4.4
The Whole Death Catalog: A Lively Guide to the Bitter End,2009,Harold Schechter,"Ballantine Books; Original edition (June 2, 2009)",4.5
Haywire: A Memoir,2011,Brooke Hayward,"Vintage; Reprint edition (March 8, 2011)",4.2
Stixx,2013,Remy Porter,"Wild Wolf Publishing (June 17, 2013)",4.6
A Ghost of a Chance (A Viola Valentine Mystery Book 1),2017,Cherie Claire,"Happy Gris Gris Publishing (January 11, 2017)",4.4
Anatomía de un escándalo (Thriller y suspense) (Spanish Edition),2018,Sarah Vaughan,"Roca Editorial (January 18, 2018)",3.6
Darker Than You Think,2011,David G. Klein,"Spectrum Literary Agency, Inc. (April 12, 2011)",4.4
The Steele Collection Books 1-3: Sarah Steele Legal Thrillers,2014,Aaron Patterson,"StoneHouse Ink (August 26, 2014)",4.0
That Churchill Woman: A Novel,2019,Stephanie Barron,"Ballantine Books (January 29, 2019)",4.3
"Breakdown (Alex Delaware series, Book 31): A thrillingly suspenseful psychological crime novel",2016,Jonathan Kellerman,"Headline (February 2, 2016)",4.2
Elements of Structured Finance,2010,Ann Rutledge,"Oxford University Press; Illustrated edition (June 14, 2010)",3.4
My Heart Is a Drunken Compass: A Memoir,2014,Domingo Martinez,"Lyons Press (November 18, 2014)",4.1
Under Betrayal (Battleground Vietnam Book 4),2020,Eric Meyer,"Swordworks (July 24, 2020)",4.4
GAIJIN LIVE NEXT DOOR: Eight Years in Japan (Ten Years From Home Book 2),2019,Heather Hackett,"Heather Hackett (December 15, 2019)",4.1
Her Bleeding Heart: An absolutely gripping and addictive serial killer thriller (Detectives Kane and Alton Book 16),2022,D.K. Hood,"Bookouture (September 12, 2022)",4.5
The Invention of Everything Else: A Novel,2009,Samantha Hunt,"Mariner Books (March 2, 2009)",4.0
OWL IS HERE! (Owl & Bear Adventures Book 1),2021,Christer Hägglund,"Atem Entertainment (December 7, 2021)",5.0
Loom Knit Dishcloths,2015,Kathy Norris,"Leisure Arts (April 12, 2015)",4.4
One More Lie: This chilling psychological thriller will hook you from page one,2019,Amy Lloyd,"Cornerstone Digital (February 1, 2019)",4.1
Montana Dawn,2012,Stone Wallace,"AmazonEncore (September 4, 2012)",3.1
Race the Night,2011,Russell C Connor,"Dark Filament Books; 3rd edition (January 14, 2011)",4.2
Fatal Ambition,2019,Don Farmer,"Headline Books (August 25, 2019)",4.7
Mob Rule in New Orleans,2023,Ida B. Wells-Barnett,"E-BOOKARAMA (April 20, 2023)",4.6
The Werewolf of Bamberg (US Edition) (A Hangman's Daughter Tale Book 5),2015,Oliver Pötzsch,"Amazon Crossing (October 13, 2015)",4.4
Things I Wish I Knew Before My Mom Died: Coping with Loss Every Day,2017,Ty Alexander,"Mango Media (September 16, 2017)",4.5
Avenue Q: The Musical: The Complete Book and Lyrics of the Broadway Musical (Applause Books) (Applause Libretto Library),2010,Robert Lopez,"Applause (October 1, 2010)",4.7
Amish Christmas Treasure: 2 Amish Christmas Novellas,2022,Rachel J. Good,"Prayerful Productivity (November 7, 2022)",4.3
The Conjurer's Daughter (A Mystery of Shakespeare Book 2),2015,Leonard Tourney,"Lume Books (September 8, 2015)",4.1
The Story of My Life,2014,Hellen Keller,"Open Road Media; New edition (April 22, 2014)",4.3
"Word Warrior: Richard Durham, Radio, and Freedom (New Black Studies)",2015,Williams Sonja D,"University of Illinois Press; 1st edition (August 30, 2015)",5.0
Slide (Hard Case Crime Book 36),2011,Jason Starr,"Hard Case Crime (April 20, 2011)",4.0
"The Torment of Others (Tony Hill and Carol Jordan, Book 4)",2009,Val McDermid,"HarperCollins (May 22, 2009)",4.4
Skin Deep (The Paranormal Detectives Book 6),2020,Lily Luchesi,"Partners in Crime Book Services; 2nd edition (May 15, 2020)",4.8
Salvation Row - John Milton #6 (John Milton Series),2014,Mark Dawson,"Unputdownable (December 10, 2014)",4.5
Lord of the Dance (Passover Book 3),2012,Andrew M. Greeley,"Forge Books (May 22, 2012)",4.1
Double Paradox: Rapid Growth and Rising Corruption in China,2012,Andrew Hall Wedeman,"Cornell University Press (March 15, 2012)",4.6
The Oxford Deception,2011,Craig Janacek,"The New World Books; 2nd edition (May 8, 2011)",3.3
Overcome Writer's Block: A Self-Guided Creative Writing Class to Get You Writing Again (Writer's Fun Zone Book 1),2013,Beth Barany,"Writer's Fun Zone Publishing (December 30, 2013)",4.0
The Bath Mysteries: A Bobby Owen Mystery (The Bobby Owen Mysteries Book 7),2015,E.R. Punshon,"Dean Street Press (August 3, 2015)",4.1
Vital Signs,2012,Barbara Wood,"Turner Publishing Company (May 1, 2012)",4.4
In the Mouth of the Lion,2016,J Guenther,"ozcanvexus; 1st edition (June 18, 2016)",4.6
Crabs On The Rampage (Crabs Series Book 4),2011,Guy N. Smith,"Black Hill Books (May 15, 2011)",4.2
Sheila Lukins All Around the World Cookbook,2012,Sheila Lukins,"Workman Publishing Company (November 1, 2012)",4.4
Shadows Under the Shade - Elysia Dayne: Book Two,2022,Wil Chan,"Independently Published (December 6, 2022)",4.5
"The Inferno of Dante: A New Verse Translation, Bilingual Edition (Italian Edition)",2014,Dante Alighieri,"Farrar, Straus and Giroux; Bilingual edition (August 19, 2014)",4.6
The Internet's Most Insulting Comments (Best of Internet Comment Insults Book 1),2013,Bill Fogarty,"Bill Fogarty; 1st edition (October 1, 2013)",5.0
The Apothecary's Daughter,2011,Charlotte Betts,"Piatkus; Reprint edition (August 4, 2011)",4.2
MC: Ricky: Book 10,2017,L. Ann Marie,"L. Ann Marie (February 25, 2017)",4.7
"Chopper (Hidden Heroes of Oz, Book One) (The Hidden History of Oz)",2017,Tarl Telford,"Emerald Engine Studios; 2nd edition (December 19, 2017)",4.1
Going Gone (Forces of Nature Book 3),2022,Sharon Sala,"MIRA (February 7, 2022)",4.6
Mail Order Brides: A Christian Historical Western Romance Collection,2021,Laura Ashwood,"Anchored Soul Publishing (November 18, 2021)",4.6
Strike (A Ray Hammer Novel Book 3),2020,Aaron Leyshon,"Rogue Kitten Media LLC (October 19, 2020)",4.0
Fleshmarket Close: From the iconic #1 bestselling author of A SONG FOR THE DARK TIMES (Inspector Rebus Book 15),2008,Ian Rankin,"Orion (September 18, 2008)",4.3
Mango Elephants in the Sun: How Life in an African Village Let Me Be in My Skin,2000,Susana Herrera,"Shambhala (August 8, 2000)",3.9
The Onion Presents The Best Of Jim Anchower,2010,The Onion,"The Onion (December 6, 2010)",4.3
The Gun Seller: A Novel,2009,Hugh Laurie,"Soho Press; Reprint edition (September 1, 2009)",4.2
A Wolf in Sheik's Clothing,2022,Clive Warner,"OffBeatReads; 1st edition (October 25, 2022)",4.8
I'm On Fire,2015,Kevin Quigley,"Cemetery Dance Publications (June 29, 2015)",4.5
Learn to Do Bavarian Crochet (Annie's Attic: Crochet),2010,Jenny King,"Annie's (October 1, 2010)",4.6
Seeking The Dead: Book 1 in the DI Joe Plantagenet crime series,2011,Kate Ellis,"Piatkus; 1st edition (January 6, 2011)",4.3
Cherokee Astrology: Animal Medicine in the Stars,2008,Raven Hail,"Bear & Company; 2nd edition (January 30, 2008)",4.7
The Sword of Venice: Book Two of The Venetians,2007,Thomas Quinn,"Thomas Dunne Books (December 10, 2007)",4.5
The Road Out: A Teacher's Odyssey in Poor America,2013,Deborah Hicks,"University of California Press; 1st edition (February 12, 2013)",4.3
The Game and other stories,2021,Joe Baldwin,"Joseph Baldwin (August 17, 2021)",3.7
May It Please The Court (Daniel Mendoza Thrillers Book 1),2020,Daniel Maldonado,"Next Chapter (September 27, 2020)",3.9
Road to Romance: A Clean and Wholesome Opposites Attract Cowboy Romance (Juniper Springs Romance Book 1),2022,Rebecca Talley,"DuBon Publishing (April 20, 2022)",4.3
SteelTown for Mary: Memoirs From a Dick,2014,Martin Durkin,"CrazyIrishman Poetry (April 21, 2014)",5.0
"Barron and Dienes's Black Letter Outline on Constitutional Law, 9th",2013,Jerome A. Barron,"West Academic Publishing; 9th edition (June 20, 2013)",4.3
